Category,Price,ImageUrl,Address,Description,Detail Url
Commerciale seulement,26 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCC95C2DDDDDDDDDDD0&t=pi&w=320&h=240&sm=c,"1859, Rue Saint-Louis, Montréal (Saint-Laurent), Quartier Saint-Laurent Ouest","Magnifique exposition à l'angle de Marcel-Laurin. Accès rapide à l'autoroute 15 et 40 avec des tonnes de parking devant. Idéal pour restaurant, salon, et beaucoup plus ! Possibilité de combiner avec les locaux adjacents. Il faut ajouter 4,46 $ par pied carré pour les taxes municipales et les frais d'exploitation.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-saint-laurent/22803050?view=Summary
Commerciale seulement,34 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DC42F8B3DDDDDDDDDDA&t=pi&w=320&h=240&sm=c,"1025, Rue Sherbrooke Est, Montréal (Le Plateau-Mont-Royal), Quartier Le Plateau-Mont-Royal",Loyer additionnel 0.95 $ / pc,https://www.centris.ca/fr/local-commercial~a-louer~montreal-le-plateau-mont-royal/27792982?view=Summary
Commerciale et bureaux,"13,06 $",https://mspublic.centris.ca/media.ashx?id=ADDD250D29714D5DDDDDDDDDD0&t=pi&w=320&h=240&sm=c,"507, Place d'Armes, local 1402, Montréal (Ville-Marie), Quartier Vieux-Montréal","Le loyer débutera à 13,06$ pc + tps/tvq, 1ère année & sera sujet à des augmentations annuelles. TEL QUEL. Opex & taxes foncières (est. 2021) 15,94$/pi.ca.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/13448296?view=Summary
Industrielle et bureaux,"19,21 $",https://mspublic.centris.ca/media.ashx?id=ADDD250DC0DCB82DDDDDDDDDDA&t=pi&w=320&h=240&sm=c,"5000, Rue D'Iberville, local 145, Montréal (Le Plateau-Mont-Royal), Quartier Le Plateau-Mont-Royal",Local commercial au RDC bénéficiant d'une superficie de 1 092 pi². Petit local pour entreposage. Pas d'accès direct au quai de chargement. Localisation centrale à Montréal sur Iberville à proximité de l'Avenue Mont-Royal. Accessibilité facile. Grand espace de stationnement.,https://www.centris.ca/fr/local-industriel~a-louer~montreal-le-plateau-mont-royal/15151806?view=Summary
Commerciale et bureaux,"16,50 $",https://mspublic.centris.ca/media.ashx?id=ADDD250DCA848FCDDDDDDDDDD4&t=pi&w=320&h=240&sm=c,"1084A, boulevard Saint-Laurent, Montréal (Ville-Marie), Quartier Centre","Immeuble commercial historique romanesque au centre du quartier Chinois (Ville-Marie), s'étendant du Boul. St-Laurent jusqu'à la rue Clark. Offrant plus de 6 000 pieds carrés à louer sur 2ème étage déjà subdivisé avec des cloisons pour usage a bureau ou professionnel. Idéal pour les firmes d'avocats, cliniques médicales, arts et spectacles, institutionnels et plus. Équipé d'un système de gicleurs, entrée de gaz, monte-charge (non fonctionnel). Loyer additionel de 7 $/pi2/année pour les taxes et les dépenses d'exploitation. Près de 3 stations de Métro, Vieux-Port, Cartier des Spectacles, CHUM, UQAM & plus. Occupation immédiate !",https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/10230570?view=Summary
Commerciale et bureaux,"34,50 $",https://mspublic.centris.ca/media.ashx?id=ADDD250DCCEECD3DDDDDDDDDDE&t=pi&w=320&h=240&sm=c,"5887, Chemin de la Côte-des-Neiges, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quartier Côte-des-Neiges",Fantastique opportunité de louer un espace commercial sur le coin occupé de la Côte des Neiges et de Linton. Veuillez ajouter 18 $/pi2 après le loyer de base pour les taxes municipales et les dépenses d'exploitation,https://www.centris.ca/fr/local-commercial~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/9185652?view=Summary
Commerciale seulement,3 500 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA5BB0CDDDDDDDDDD1&t=pi&w=320&h=240&sm=c,"4742, Rue de Verdun, Montréal (Verdun/Île-des-Soeurs), Quartier Verdun","Excellent emplacement pour démarrer votre entreprise, à proximité du métro, des parcs et des écoles",https://www.centris.ca/fr/local-commercial~a-louer~montreal-verdun-ile-des-soeurs/19476319?view=Summary
Commerciale et bureaux,"12,50 $",https://mspublic.centris.ca/media.ashx?id=ADDD250DCA9B6DBDDDDDDDDDDF&t=pi&w=320&h=240&sm=c,"5881 - 5889, Chemin de la Côte-des-Neiges, local 505, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quartier Côte-des-Neiges","Ce bâtiment médical accessible en fauteuil roulant situé sur le chemin de la Côte des Neiges à proximité de 3 hôpitaux dispose d'un parking souterrain, d'ascenseurs à grande vitesse et de nouvelles salles de bains sur chacun des 6 étages. Les locataires comprennent les laboratoires Clarks et des médecins spécialistes.",https://www.centris.ca/fr/batisse-commerciale~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/14739742?view=Summary
Commerciale et bureaux,28 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCEBBE92DDDDDDDDDDC&t=pi&w=320&h=240&sm=c,"5365, Rue Jean-Talon Est, Montréal (Saint-Léonard)","C'est une chance unique de louer dans cet immeuble de 1992. Très bien situé sur la rue Jean-Tallon entre Lacordaire et Viaux. Nous avons plusieurs espaces à louer modulables à vos besoins qui s'adaptent très bien pour différents professionnels (médecins, dentistes, tous les métiers en médicales et paramédicales, Esthétiques, avocats, notaires, comptables, immigrations etc..). Nous sommes prêts à vous accueillir !",https://www.centris.ca/fr/batisse-commerciale~a-louer~montreal-saint-leonard/28927417?view=Summary
Commerciale seulement,200 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCAB4A27DDDDDDDDDD1&t=pi&w=320&h=240&sm=c,"1287, boulevard De Maisonneuve Ouest, Montréal (Ville-Marie), Quartier Mille Carré Doré","Boutique ou resto au détail au rez-de-chaussée situé sur le boulevard De Maisonneuve Ouest dans un emplacement privilégié au centre-ville. Les voisins directs incluent Four Seasons, Ritz Carlton, Holt Renfrew, Apple Store et l'Université Concordia. L'exposition au niveau de la rue bénéficie d'une grande visibilité avec des tonnes de circulation de piétons et de véhicules. Comprend 1 256 pieds carrés d'espace utilisable, une nouvelle salle de bain, un grand espace de rangement, des plafonds de plus de 18 pieds et une exposition au soleil orientée au sud. Disponible immédiatement!",https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/21909510?view=Summary
Commerciale et bureaux,19 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA7EBDBDDDDDDDDDD2&t=pi&w=320&h=240&sm=c,"3600, Rue Ontario Est, Montréal (Mercier/Hochelaga-Maisonneuve), Quartier Hochelaga-Maisonneuve",,https://www.centris.ca/fr/local-commercial~a-louer~montreal-mercier-hochelaga-maisonneuve/19469623?view=Summary
Industrielle et bureaux,"19,21 $",https://mspublic.centris.ca/media.ashx?id=ADDD250DC24AADADDDDDDDDDDD&t=pi&w=320&h=240&sm=c,"5000, Rue D'Iberville, local 141, Montréal (Le Plateau-Mont-Royal), Quartier Le Plateau-Mont-Royal",Local commercial au RDC avec deux entrées indépendantes bénéficie d'une superficie de 4 335 pi². Belle luminosité. Localisation centrale sur île de Montréal sur d'Iberville à proximité de l'Avenue Mont-Royal. Accessibilité facile. Stationnement commun,https://www.centris.ca/fr/local-commercial~a-louer~montreal-le-plateau-mont-royal/13294407?view=Summary
Commerciale seulement,1 350 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCEA3689DDDDDDDDDDE&t=pi&w=320&h=240&sm=c,"555, Rue Saint-Antoine, Montréal (Lachine), Quartier Est",Charmant petit local commercial à Lachine de 577 pieds carrés situé dans un quartier résidentiel. Pour commerce de vente au détail seulement. L'extérieur sera remis au goût du jour (peinture et retrait de l'enseigne extérieure). Des travaux intérieurs d'embellissement pourraient être réalisés selon vos besoins (négociables). 1400$/mois+tx. Chauffage et éclairage au frais du locataire. Salle d'eau incluse et privée. Disponible pour une occupation dès le 1 octobre.,https://www.centris.ca/fr/local-commercial~a-louer~montreal-lachine/25959416?view=Summary
Bureaux seulement,24 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D24AFD7EDDDDDDDDDD0&t=pi&w=320&h=240&sm=c,"555, boulevard Dr.-Frederik-Philips, Montréal (Saint-Laurent), Quartier Saint-Laurent Ouest","Tour à bureaux prestigieuse et moderne de classe ""A"" offrant une visibilité exceptionnelle et une lumière naturelle abondante. Stratégiquement situé à Ville Saint-Laurent, en face de l'autoroute Transcanada, entre les autoroutes 15 et 13. PLUSIEURS SUITES DISPONIBLE JUSQU'À 35 679 PI. CA.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-saint-laurent/11488114?view=Summary
Commerciale et bureaux,2 799 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCADDCD0DDDDDDDDDDC&t=pi&w=320&h=240&sm=c,"249, Rue Saint-Jacques, local 302, Montréal (Ville-Marie), Quartier Vieux-Montréal","Situé au coeur du centre-ville du Vieux Montréal à distance de marche des métros Square-Victoria et Place d'armes et des autobus. Environnement dynamique et stimulant, idéal pour des bureaux professionnels/start-ups. Superbe espace de 1,159PC avec hauts plafonds et grandes fenêtres. Occupation immédiate. Opportunité unique",https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/21690415?view=Summary
Commerciale seulement,26 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DC245C41DDDDDDDDDDD&t=pi&w=320&h=240&sm=c,"6510, Avenue Somerled, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quartier Notre-Dame-de-Grâce","Immeuble commercial unique au coin de l'avenue Somerled et du boulevard Cavendish. Emplacement stratégique à fort trafic avec une visibilité exceptionnelle. Bien desservi par le transport en commun avec les lignes d'autobus 102, 104, 138 et 420 situées devant l'immeuble.Situé à l'intersection du boulevard Cavendish et de l'avenue Somerled dans l'arrondissement Côte-des-Neiges et Notre-Dame-de-Grâces. Espace idéal pour une clinique médicale ou dentaire, un restaurant, un café ou tout autre usage général de vente au détail.",https://www.centris.ca/fr/batisse-commerciale~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/10383092?view=Summary
Commerciale seulement,15 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA6FBE9DDDDDDDDDDE&t=pi&w=320&h=240&sm=c,"2450, Rue Bélanger, Montréal (Rosemont/La Petite-Patrie), Quartier Nouveau-Rosemont","Le loyer brut proposé pour la première année du terme est de 15,00$ net + 5,00$ add = 20,00$ pi/ca pour la première année. + tps/tvq. Terme de 5 ans avec possibilité d'option de renouvellement. L'énergie est au frais du locataire.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-rosemont-la-petite-patrie/18696524?view=Summary
Bureaux seulement,16 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA1C981DDDDDDDDDDC&t=pi&w=320&h=240&sm=c,"1585, Rue Gareau, Montréal (Ville-Marie), Quartier Village","MAISON BOURBON - ESPACE BUREAU SUBVENTIONNÉ - 10 000 pieds carrés d'espaces bureau de prestige. Situé au 2e étage du projet emblématique LE BOURBON, avec entrée privative. -Espace bureau conçu pour des organismes à but non-lucratif (OBNL) -Construction 2020 -Occupation immédiate -Bâtiment de 9 étages situé dans Ville-Marie E. -À 2 pas du métro Papineau -Loyer de base: 16$/PC/année + TPS/TVQ -Stationnement intérieur possible",https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/13414423?view=Summary
Commerciale et bureaux,1 950 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA1ACDFDDDDDDDDDD2&t=pi&w=320&h=240&sm=c,"6401B, boulevard Décarie, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quartier Côte-des-Neiges","Le Romema! Espace commercial au RDC dans une nouvelle construction d'immeuble a condo locatif. Situé sur une rue passante avec haute visibilité, superficie disponible a partir de 850 pdc a 7,562 pdc, idéal pour commerce de détails, resto/ café, garderie, clinique et plus. A proximité des parcs, écoles, stations de Métro, Aut.20, centre d'achat. Voir Addenda pour plus de détails",https://www.centris.ca/fr/local-commercial~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/26740804?view=Summary
Industrielle et bureaux,17 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCC30C1BDDDDDDDDDD1&t=pi&w=320&h=240&sm=c,"7861, Rue Jarry Est, Montréal (Anjou)","Une opportunité incroyable pour ouvrir votre bureau, salle d'exposition, espace sportif, services professionnels et plus encore dans une vaste unité de coin dans le secteur industriel d'Anjou. Près d'Hydro-Québec, Unicor Industries, Costco et plus. Entre l'autoroute 40 et 25 pour un accès facile. Possibilité d'ajouter de la superficie d'entrepôt si nécessaire. Plusieurs quais de chargement et 2 baies pour camions de transport. Des possibilités infinies d'utilisation et de design. Un grand stationnement à l'arrière. Loyer supplémentaire d'environ 2,60 $/pi2.",https://www.centris.ca/fr/local-industriel~a-louer~montreal-anjou/21552711?view=Summary
Bureaux seulement,"14,50 $",https://mspublic.centris.ca/media.ashx?id=ADDD250D22FBB7EDDDDDDDDDDB&t=pi&w=320&h=240&sm=c,"9250, boulevard de l'Acadie, local 308, Montréal (Ahuntsic-Cartierville), Quartier Nouveau Bordeaux",,https://www.centris.ca/fr/batisse-commerciale~a-louer~montreal-ahuntsic-cartierville/12067327?view=Summary
Commerciale seulement,30 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA983A5DDDDDDDDDDE&t=pi&w=320&h=240&sm=c,"5139 - 5301, Avenue de Courtrai, local 2, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quartier Côte-des-Neiges","Une opportunité incroyable d'être parmi les meilleurs détaillants dans le développement de Westbury. Cette unité se trouve parmi Starbucks, Preso Tea, Spas, et Supermarche PA. Le rez-de-chaussée est composé de commerces de détail, les étages 2 à 4 de bureaux, l'étage 7 et plus seront des locations résidentielles haut de gamme. Loyer additionnel d'environ 16 $ par pied carré",https://www.centris.ca/fr/local-commercial~a-louer~montreal-cote-des-neiges-notre-dame-de-grace/23093577?view=Summary
,195 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCE004D3DDDDDDDDDDB&t=pi&w=320&h=240&sm=c,"1400S, Rue Ottawa, Montréal (Le Sud-Ouest), Quartier Griffintown",Stationnement à louer,https://www.centris.ca/fr/terrain~a-louer~montreal-le-sud-ouest/16296138?view=Summary
Commerciale et résidentielle,25 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA34146DDDDDDDDDDD&t=pi&w=320&h=240&sm=c,"590, Rue Viau, local A, Montréal (Mercier/Hochelaga-Maisonneuve), Quartier Hochelaga-Maisonneuve","Opportunité à ne pas manquer! Super local en construction disponible à la location, situé au rez-de-chaussée d'un semi-commercial avec une superficie d'environ 1250 pi2, idéal pour un commerce de détail renommé. Soyez la première bannière à vous installer dans ce quartier qui prend de la vie. Possibilité de nouvelle station de métro prévue dans le projet de l'Est qui accentuera l'essor du secteur.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-mercier-hochelaga-maisonneuve/12968365?view=Summary
Commerciale seulement,24 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D260998CDDDDDDDDDD4&t=pi&w=320&h=240&sm=c,"6585, Avenue Durocher, Montréal (Outremont)","Tout nouveau développement ! Espace commercial à louer dans le secteur en plein essor d'Outremont, à quelques pas du nouveau campus de l'Université de Montréal. L'espace offre une lumière naturelle abondante avec 90 pieds linéaires de façade et de hauts plafonds. Le loyer additionnel de 11$ ppc doit être ajouté au prix demandé.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-outremont/11506098?view=Summary
Commerciale et bureaux,1 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D264F228DDDDDDDDDD4&t=pi&w=320&h=240&sm=c,"1000, Rue De La Gauchetière Ouest, local 3600, Montréal (Ville-Marie), Quartier Centre Ouest",***Taux de location est négociable***,https://www.centris.ca/fr/batisse-commerciale~a-louer~montreal-ville-marie/26525784?view=Summary
Commerciale et bureaux,"16,06 $",https://mspublic.centris.ca/media.ashx?id=ADDD250D299C9CBDDDDDDDDDDA&t=pi&w=320&h=240&sm=c,"507, Place d'Armes, local 260, Montréal (Ville-Marie), Quartier Vieux-Montréal","Le loyer débutera à 16,06$ pc + tps/tvq, 1ère année & sera sujet à des augmentations annuelles. TEL QUEL. Opex & taxes foncières (est. 2021) 15,94$/pi.ca",https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/15739130?view=Summary
Commerciale et bureaux,3 200 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA627A1DDDDDDDDDDC&t=pi&w=320&h=240&sm=c,"4639, boulevard Saint-Laurent, Montréal (Le Plateau-Mont-Royal), Quartier Mile-End","Emplacement de choix au coeur du Plateau,dans le ""main"" rue achalandé , libre à partir du 1er mars 2023, immeuble avec beaucoup d'améliorations, peut être transformé facilement en bureaux , ou boutique, grand sous-sol avec plafonds hauts, peut être loué avec local à coté , centris # 25461753",https://www.centris.ca/fr/local-commercial~a-louer~montreal-le-plateau-mont-royal/27556493?view=Summary
Commerciale seulement,26 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCC95C2CDDDDDDDDDD1&t=pi&w=320&h=240&sm=c,"1863, Rue Saint-Louis, Montréal (Saint-Laurent), Quartier Saint-Laurent Ouest","Magnifique exposition à l'angle de Marcel-Laurin. Accès rapide à l'autoroute 15 et 40 avec des tonnes de parking devant. Idéal pour restaurant, salon, et beaucoup plus ! Possibilité de combiner avec les locaux adjacents. Il faut ajouter 4,46 $ par pied carré pour les taxes municipales et les frais d'exploitation.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-saint-laurent/26391475?view=Summary
,250 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCE98098DDDDDDDDDDF&t=pi&w=320&h=240&sm=c,"1288P, Rue Saint-Antoine Ouest, Montréal (Ville-Marie), Quartier Centre","Les visites se font uniquement sur rendez-vous, au moins 24h à l'avance",https://www.centris.ca/fr/terrain~a-louer~montreal-ville-marie/17548048?view=Summary
Commerciale et bureaux,25 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCCF5044DDDDDDDDDD4&t=pi&w=320&h=240&sm=c,"1619, Rue William, local A, Montréal (Le Sud-Ouest), Quartier Griffintown","Espace commercial au rez-de-chaussée 3,767 pieds carres a 7,124 pieds carres a 25.00 $ le pied carre NET et a quelques minutes du centre-ville de Montreal au Coeur de Griffin town. En face de Lachine canal et piste cyclable. Excellent emplacement. Aux DEUXIÈME ET TROISIÈME ÉTAGES pouvant atteindre 12,000 pied carres également disponibles a 17.00 $ pieds carres NET.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-le-sud-ouest/11008123?view=Summary
Bureaux seulement,830 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA6E146DDDDDDDDDDE&t=pi&w=320&h=240&sm=c,"9200, Rue Sherbrooke Est, local 212, Montréal (Mercier/Hochelaga-Maisonneuve), Quartier Mercier",Grand espace de bureau au 2e étage de 1245p.c. dans un centre commercial avec emplacement de choix situé sur la rue achalander de Sherbrooke est. Stationnement généreux et accès facile. Idéal pour votre projet! Une visite s'impose!,https://www.centris.ca/fr/local-commercial~a-louer~montreal-mercier-hochelaga-maisonneuve/16586693?view=Summary
Commerciale seulement,30 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DC105C0DDDDDDDDDDD0&t=pi&w=320&h=240&sm=c,"460, Rue Saint-Gabriel, local 601, Montréal (Ville-Marie), Quartier Vieux-Montréal","6ème étage entier / exclusif avec accès direct par ascenseur. Espace de bureau de premier ordre dans un immeuble de bureaux boutique à quelques pas du palais de justice, idéal pour les avocats, notaires et autres professionnels. Entrée principale / lobby des bureaux est situé au 460, rue Saint-Gabriel, Montreal (immeuble ""Le Petit Palais""). Douche privee dans l'espace. Beaucoup de fenestration. Superficie d'environ : 2850 pi. ca. 30,00 $ par pi. ca. BRUT (pour la 1re annee d'occupation). Douche privee dans l'espace. Beaucoup de fenestration.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/9126380?view=Summary
Commerciale et bureaux,1 000 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCA0A536DDDDDDDDDDF&t=pi&w=320&h=240&sm=c,"2910, boulevard Saint-Joseph, local 1JL, Montréal (Lachine), Quartier Est","*Édifice à bureaux professionnel charmant et élégant situé sur le boul. St-Joseph. au coeur de Lachine avec vue magnifique sur le Lac Saint-Louis.* L'immeuble a été complètement renové au fil des années. Très bien entretenue, lumineux et bien insonorisé.",https://www.centris.ca/fr/batisse-commerciale~a-louer~montreal-lachine/25353443?view=Summary
Bureaux seulement,15 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D25CBE65DDDDDDDDDD0&t=pi&w=320&h=240&sm=c,"1350, Rue Sherbrooke Ouest, Montréal (Ville-Marie), Quartier Mille Carré Doré","Prestigieux immeuble de bureaux de style boutique au coeur du centre-ville de Montréal. Stratégiquement situé au coeur du centre-ville de Montréal, à l'angle des rues Sherbrooke et Crescent, ainsi qu'à proximité de plusieurs services, commodités et transports en commun. Stationnement intérieur disponible.Taxes & frais d'opération : 17,64$",https://www.centris.ca/fr/batisse-commerciale~a-louer~montreal-ville-marie/11714449?view=Summary
Commerciale et résidentielle,2 600 $,https://mspublic.centris.ca/media.ashx?id=ADDD250DCAE25BDDDDDDDDDDDD&t=pi&w=320&h=240&sm=c,"1151, Rue Notre-Dame, Montréal (Lachine), Quartier Est","Grand espace commercial à louer au coeur de Lachine sur la rue Notre Dame! Environ 1600 pieds carrés avec de hauts plafonds au rez-de-chaussée, un espace supplémentaire de 1000 pieds carrés au sous-sol avec des plafonds de 7 pieds. Ne manquez pas votre chance d'entrer dans l'un des quartiers les plus en expansion a Montreal! Disponible le 1er janvier 2023.",https://www.centris.ca/fr/local-commercial~a-louer~montreal-lachine/19780453?view=Summary
Bureaux seulement,1 500 $,https://mspublic.centris.ca/media.ashx?id=ADDD250D2BC64C5DDDDDDDDDD0&t=pi&w=320&h=240&sm=c,"933, Rue Ontario Est, local 10, Montréal (Ville-Marie), Quartier Centre",,https://www.centris.ca/fr/local-commercial~a-louer~montreal-ville-marie/12456289?view=Summary
