Page,Url,Image,Portion,Cooking Time,Title,Content,Ingredients,Recipe Yield
1,https://www.bucataras.ro/retete/musaca-de-post-cu-ciuperci-96082.html,https://www.bucataras.ro/uploads/modules/news/96082/656x440_musaca-cu-ciuperci-de-post-631007.jpg,8,90,Böjt moussaka gombával,"-Ma elfogyasztottuk ezt a szuper finom ételt! Nem tudom, miért nem készítettem eddig a böjti muszakát, de ma arra gondoltam, hogy elkészítem. Szuper, szuper jó lett és minden bizonnyal a böjti étlapunkon is szerepelni fog! A tetejére vegán sajtszeleteket tettem, amit képen is látni fogtok, hogy ötlet legyen. Nem kötelező ezt a céget igénybe venni, de szerintem tudjátok, hogy most sok vegán terméket találhattok a boltokban, amik böjti napokra nagyon jók! Ha szereted az általam elkészített muszakát, azt is kipróbálhatod. Ha tökéletes szeletet akarsz kapni, a rétegeket megfelelően látni, akkor ne vágd forrón, mint én!","8-9 alkalmas burgonya
2 doboz vágott gomba (vagy 700 g friss gomba)
1 nagy hagyma
1 sárgarépa
1 piros paprika
1 doboz egész hámozott paradicsom
1 evőkanál szárított zöldség
1/2 csokor zöld kapor
1 evőkanál megfelelő keményítő (vagy 1 evőkanál élesztőpehely)
só
bors
paprika
6 szelet vegán sajt
2 evőkanál olívaolaj",1) A szebb színért adj hozzá 1 teáskanál porított kurkumát.
1,https://www.bucataras.ro/retete/mancare-de-fasole-verde-cu-naut-96112.html,https://www.bucataras.ro/uploads/modules/news/96112/656x440_mancare-de-fasole-verde-cu-naut-631301.jpg,4,60,Zöldbabos étel csicseriborsóval,"-Ma elfogyasztottuk ezt a szuper finom ételt! Nem tudom, miért nem készítettem eddig a böjti muszakát, de ma arra gondoltam, hogy elkészítem. Szuper, szuper jó lett és minden bizonnyal a böjti étlapunkon is szerepelni fog! A tetejére vegán sajtszeleteket tettem, amit képen is látni fogtok, hogy ötlet legyen. Nem kötelező ezt a céget igénybe venni, de szerintem tudjátok, hogy most sok vegán terméket találhattok a boltokban, amik böjti napokra nagyon jók! Ha szereted az általam elkészített muszakát, azt is kipróbálhatod. Ha tökéletes szeletet akarsz kapni, a rétegeket megfelelően látni, akkor ne vágd forrón, mint én!","1 sárgarépa
1 hagyma
1 kaliforniai paprika
400 gr zöldbab
150 gr előfőzött csicseriborsó
150 gr tört paradicsom
2 evőkanál paradicsompüré
só
őrölt feketebors
1 babérlevél
száritott kakukkfű
zöld kapor
2-3 gerezd fokhagyma
2 evőkanál olaj",1) A szebb színért adj hozzá 1 teáskanál porított kurkumát.
1,https://www.bucataras.ro/retete/varza-calita-cu-cartofi-ca-la-kracovia-96117.html,https://www.bucataras.ro/uploads/modules/news/96117/656x440_varza-calita-cu-cartofi-ca-la-kracovia-631336.jpg,4,30,"Párolt káposzta burgonyával, mint Krakkóban",Bemutatok egy finom lengyel böjt receptet.,"3-4 nagyobb burgonya
1/2 fej káposzta, kb 1,5 kg
4 gerezd fokhagyma
4 evőkanál olaj
1 csokor zöld, kapor vagy petrezselyem, amit szeretsz
1 alkalmas sárgarépa
1 csipet füstölt paprika (elhagyható)
1/2 teáskanál cukor
egy hagyma
2 paradicsom vagy fél doboz kockára vágott paradicsom
3-4 evőkanál paradicsompüré","1) Ha nincs böjt, a végén adjunk hozzá 2-3 kanál olvasztott vajat.
2) Ne forraljuk sokáig a káposztát, mert fennáll a veszélye, hogy pépes lesz.
3) Válasszon érett és ropogós káposztát."
1,https://www.bucataras.ro/retete/fasole-batuta-96136.html,https://www.bucataras.ro/uploads/modules/news/96136/656x440_fasole-batuta-631542.jpg,6,90,Felvert bab,Ízletes böjtként és valami füstölt is,"500 gramm bab
2 hagyma
3 evőkanál paradicsompüré
3-4 evőkanál olaj
4-5 gerezd fokhagyma
só
bors
füstölt paprika","1) Ha nincs böjt, a végén adjunk hozzá 2-3 kanál olvasztott vajat.
2) Ne forraljuk sokáig a káposztát, mert fennáll a veszélye, hogy pépes lesz.
3) Válasszon érett és ropogós káposztát."
1,https://www.bucataras.ro/retete/cartofi-in-sos-de-rosii-cu-usturoi-96158.html,https://www.bucataras.ro/uploads/modules/news/96158/656x440_cartofi-in-sos-de-rosii-cu-usturoi-631789.jpg,4,60,Burgonya paradicsomszószban fokhagymával,A gyors és egyszerű gyorsételek kategóriájából mostanában egy adag burgonyával kényeztettük magunkat fokhagymás paradicsomszószban.,"500 gr fehér burgonya
2 hagyma (fehér és vörös)
3 gerezd fokhagyma
400 gr paradicsompüré sült paprikával
só
bors
száritott kakukkfű
1/4 teáskanál paprika
30 ml olajat
1/2 csokor zöldpetrezselyem","1) Megtartunk egy gerezd fokhagymát, amit lereszelve adunk az ételhez, a főzés vége felé. Extra fűszeres ízt ad, és megőrzi az aromáját.
2) Zöld kaprot is adhatunk hozzá."
1,https://www.bucataras.ro/retete/cartofi-la-cuptor-cu-salata-de-naut-96176.html,https://www.bucataras.ro/uploads/modules/news/96176/656x440_cartofi-la-cuptor-cu-salata-de-naut-631976.jpg,2,120,Sült burgonya csicseriborsó salátával,A gyors és egyszerű gyorsételek kategóriájából mostanában egy adag burgonyával kényeztettük magunkat fokhagymás paradicsomszószban.,"1,2 kg burgonya
60 ml olívaolaj (minőségi vagy napraforgóolaj)
2 adjunk hozzá oregánót
2 tk kakukkfű
1 evőkanál fokhagyma por
1 teáskanál só
1 doboz 400 g-os csicseriborsó (240 g lecsepegve)
uborka
kapor
olivaolaj
só
zöld hagyma","1) Megtartunk egy gerezd fokhagymát, amit lereszelve adunk az ételhez, a főzés vége felé. Extra fűszeres ízt ad, és megőrzi az aromáját.
2) Zöld kaprot is adhatunk hozzá."
1,https://www.bucataras.ro/retete/supa-crema-de-dovleac-bucatarie-franceza-96235.html,https://www.bucataras.ro/uploads/modules/news/96235/656x440_supa-crema-de-dovleac-bucatarie-franceza-632624.jpg,6,60,Sütőtök krémleves (francia konyha),"Olyan egyedi étel, amilyen ízletes.","tök 600 gr,
hagyma 2 db,
fokhagyma 3 db, gyömbér 20 gr,
burgonya 450 gr,
kókusztej 300 ml,
oregánó 5 gr,
főzőtejszín 200 ml,
bacon 50 gr,",1) Süsse meg a sütőtököt és a burgonyát az extra íz érdekében.
1,https://www.bucataras.ro/retete/ghiveci-de-legume-cu-orez-brun-la-cuptor-96243.html,https://www.bucataras.ro/uploads/modules/news/96243/656x440_ghiveci-de-legume-cu-orez-brun-la-cuptor-632757.jpg,4,60,Zöldségedények barna rizzsel a sütőben,"Olyan egyedi étel, amilyen ízletes.","1 vöröshagyma
1 sárgarépa
1 piros kaliforniai paprika
1 narancs kaliforniai paprika
100 gr fagyasztott zöldbab
100 gr fagyasztott borsó
1 nagy burgonya
1 cukkini
100 gr előzőleg főtt csicseriborsó
200 gr tört paradicsom
100 gr barna rizs
2 evőkanál olívaolaj
só
őrölt feketebors
2 babérlevél
Provence-i gyógynövények
zöld petrezselyem",1) Süsse meg a sütőtököt és a burgonyát az extra íz érdekében.
1,https://www.bucataras.ro/retete/aperitiv-placinte-cu-cartofi-la-panini-maker-de-post-96349.html,https://www.bucataras.ro/uploads/modules/news/96349/656x440_placinte-cu-cartofi-la-panini-maker-breville-de-post-633985.jpg,4,90,Előétel burgonyás pite a Panini Makerben nagyböjtre,"Megkívántam néhány, ezzel a géppel elkészített burgonyás pitét, így nekifogtam a dolognak. Anélkül, hogy észrevettem volna, a végén rájöttem, hogy koplalok. Szuper jók lettek és ha nem akarod böjtölni, akkor kipróbálhatsz különféle töltelékeket sonkával, sajttal, sajttal, amihez kedved tartja. Később elkészítettem az utolsó változatot, nem tudtam túltenni magam, milyen gyorsan párologtak el a tányérról.","500 g fehér liszt
1 teáskanál só
5 g száraz élesztő
egy kis cukor
körülbelül 250 ml meleg víz
2-3 l olívaolaj
héjában főtt burgonyát
1-2 szelet fehér hagyma
olaj a temperáláshoz
1-2 tk édes paprika
só, bors ízlés szerint","1) Ezeket a lepényeket más töltelékkel is elkészíthetjük, akár üvegbe rakott reszelt almával is."
1,https://www.bucataras.ro/retete/ghiveci-de-legume-cu-soia-96374.html,https://www.bucataras.ro/uploads/modules/news/96374/656x440_ghiveci-de-legume-cu-soia-634285.jpg,4,90,Zöldségedények szójával,"Ha van még zöldség a fagyasztóban, gondoltam felszabadítom a fagyasztót, és csinálok valami kaját ebédre. Ami kijött az valami jó volt!A fagyasztott zöldségek voltak: sárgarépa,borsó,paprika,zöldbab,kukorica.Krumplival javítottam.","500 g fagyasztott zöldségkeverék
2 nagy hagyma
50 ml. olaj
2 burgonya
100 ml. Paradicsomlé
50 g szójadarabok
só
bors
száritott kakukkfű
négyes döntetlen","1) borsó, burgonya, zöldbab, szója, kukorica, kaliforniai paprika,"
1,https://www.bucataras.ro/retete/mancare-de-ciuperci-cu-masline-96375.html,https://www.bucataras.ro/uploads/modules/news/96375/656x440_mancare-de-ciuperci-cu-masline-634294.jpg,4,90,Gombás étel olajbogyóval,"Ez az étel kiváló a gyors napokra. Egyáltalán nem nehéz elkészíteni, nincsenek kifinomult összetevői, és nagyon finomra sikerül. A többi napon is elkészíthetjük, köretként egy darab grillezett hús mellé, sütőben vagy serpenyőben tálalhatjuk. Konzerv gombát használtam, de a friss is nagyon bevált.","3 doboz 400 gr-os felvágott gomba (vagy 1 kg friss gomba)
2 hagyma
1 sárgarépa
1 piros paprika
2 kanál capia szósz fánkkal
100 gr kimagozott fekete olajbogyó
2 evőkanál paradicsompüré
2 evőkanál olívaolaj
só
bors
paprika
1 evőkanál szárított zöldségkeverék
2 babérlevél
1 teáskanál szárított oregánó","1) borsó, burgonya, zöldbab, szója, kukorica, kaliforniai paprika,"
1,https://www.bucataras.ro/retete/ciorba-de-fasole-verde-cu-soia-96380.html,https://www.bucataras.ro/uploads/modules/news/96380/656x440_ciorba-de-fasole-verde-cu-soia-634317.jpg,6,90,Zöldbableves szójával,"Ha szójával csináltam zöldséges edényeket és maradt szója, gondoltam szóját teszek egy zöldséglevesbe.Nagyon jól sikerült és elcsábította az ízlelőbimbóinkat:))))))","50 g szójadarabok
egy hagyma
egy répa
egy kis darab zellergyökér
egy petrezselyem gyökér
egy marék zöldbabot
2-3 borsó
2 evőkanál olaj
150 ml. Paradicsomlé
4 evőkanál corcoduse húsleves
2-3 evőkanál leustean
1/2 tészta tekercs","1) borsó, burgonya, zöldbab, szója, kukorica, kaliforniai paprika,"
1,https://www.bucataras.ro/retete/ardei-si-sarmalute-cu-ciuperci-si-orez-de-post-96446.html,https://www.bucataras.ro/uploads/modules/news/96446/656x440_ardei-si-sarmalute-cu-ciuperci-si-orez-de-post-635031.jpg,8,90,"Paprika és kolbász gombával és rizzsel, böjt","A sarmales az egyik kedvenc ételem, de szeretem a töltött paprikát, a töltött paradicsomot/cukkinit vagy a szőlőlevélbe csomagolt sarmalet is. Ezúttal a töltött paprikára gondoltam nagyböjtre, gombával (őrölt gombával, saját kamrából) és rizzsel. De maradt egy kis kompozícióm, így készítettem sarmaluce-os szőlőleveleket is, szintén böjtre!","8 paprika és szőlőlevél, a fagyasztóból
1/2 kg sampinyon/pleurotus gomba
1 nagy hagyma
2 sárgarépa gyökér
1 petrezselyem gyökér
1 kis darab zeller
200-250 ml paradicsomlé (vagy paradicsompüré)
5-6 evőkanál napraforgóolaj, a zöldségek párolásához
2 csésze rizs
konyhai só, ízlés szerint
őrölt bors, ízlés szerint
paprika, ízlés szerint","1) Ha szereted, használhatsz paprikát.
2) Bármilyen gombát használhat, ami kéznél van.
3) Tegyél a töltelékhez egy nyers hagymát, és a paprika/sarmale különleges ízű lesz.
4) Paradicsomlé helyett használhatunk 2-3 evőkanál paradicsompürét vagy friss paradicsomot.
5) Formázáskor ne szorítsuk túl erősen a sarmaleseket, nehogy megrepedjenek főzés közben.
6) Amikor a víz lecsökken, adjon hozzá még, ha szükséges, hogy mindig ellepje és jól forralja fel.
7) Sarmaleshez használhatunk édes/savanyú káposztát vagy tormát, steviát vagy tormalevelet is!
8) Friss paprikát is használhatunk, de meg kell tisztítani a gerincétől, és enyhén sóval vízben leforrázni, mielőtt megtöljük.
9) Főzéskor használhatunk egy szál szárított kakukkfüvet vagy kaprot (vagy zöldet is), ha szeretjük.
10) A paprikát/sarmalet tejszínnel is tálalhatod, de már nem lesz gyors!"
1,https://www.bucataras.ro/retete/fasole-batuta-combo-96491.html,https://www.bucataras.ro/uploads/modules/news/96491/656x440_fasole-batuta-combo-635608.jpg,12,60,Felvert bab kombó,"Nos, miután átnéztem a spájzban, találtam néhány doboz (4) kis, sima fehér babot és egy nagy konzerv fekete babot, amelyek a kukába készültek, mert gyorsan lejárt, így nekiláttam a munkának. .","Kisméretű fehér bab konzerv 4 db, kb. 800 g,
Fekete bab konzerv - kb. 800 g,
Fokhagyma 1 fej,
Napraforgóolaj kb. 100 ml,
Tengeri só 1 evőkanál.
A feltéthez:
Sárga hagyma 3 db,
Napraforgóolaj kb. 150 ml,
Paprika 2 evőkanál.","1) Ha szereted, használhatsz paprikát.
2) Bármilyen gombát használhat, ami kéznél van.
3) Tegyél a töltelékhez egy nyers hagymát, és a paprika/sarmale különleges ízű lesz.
4) Paradicsomlé helyett használhatunk 2-3 evőkanál paradicsompürét vagy friss paradicsomot.
5) Formázáskor ne szorítsuk túl erősen a sarmaleseket, nehogy megrepedjenek főzés közben.
6) Amikor a víz lecsökken, adjon hozzá még, ha szükséges, hogy mindig ellepje és jól forralja fel.
7) Sarmaleshez használhatunk édes/savanyú káposztát vagy tormát, steviát vagy tormalevelet is!
8) Friss paprikát is használhatunk, de meg kell tisztítani a gerincétől, és enyhén sóval vízben leforrázni, mielőtt megtöljük.
9) Főzéskor használhatunk egy szál szárított kakukkfüvet vagy kaprot (vagy zöldet is), ha szeretjük.
10) A paprikát/sarmalet tejszínnel is tálalhatod, de már nem lesz gyors!"
