Title,Content,Ingredients,Recipe Yield,Direction
"Főtt bab leves, posta",Lélek Receptjei,"500g bab
3 hagyma
50ml olaj
3 evőkanál paradicsomlé
2 teáskanál édes paprika
2 szárított borókabogyó
vegeta
bors
só","Nan

Nincs","A fazék előző este beáztatásra kerül, és másnap reggel öblítés után egy lábasban két babérlevéllel és egy-két szegfűszegel egy órán át nyomás alatt főzésre kerül. A vöröshagymát apróra vágjuk, és egy serpenyőben olajon megpirítjuk 2-3 percig. Egy kis vizet öntünk bele, és fűszerezzük borssal, sóval, és főzzük kb. 5 percig. Hozzáadjuk a fazékot és a paradicsompürét, és még 10-15 percig főzzük. Ízesítsük sóval (én egy fél teáskanálnyi cukrot is teszek bele) és kész is. Vöröshagymával, vagy savanyúsággal tálaljuk. Jó étvágyat!"
Krumpli Töltött Paprikák,Lélek Receptjei,"1 kg új burgonya
3 hagyma
1 piros paprika
1 zöld paprika
400g apróra vágott paradicsom
50ml olaj
1 csokor petrezselyem
vegeta
füstölt paprika-szósz
bors
só","Nan

Nan","A krumplik megtisztítják, megmossák és kockákra vágják. A vöröshagyma megtisztítják és apróra vágják. A paprikákat megtisztítják, megmossák és négyzetekre vágják. Egy serpenyőbe olajat öntenek és a hagymát beletesszük, 3-4 percig pirítjuk. Beleteszünk fűszert, füstölt paprikát és borsot. Hozzáadjuk a paprikákat és még 2-3 percig pirítjuk. Hozzáadjuk a krumplikat, annyi vízhez adjuk, hogy ellepje, és 15-20 percig főzzük. Hozzáadjuk a kockára vágott paradicsomokat, jól összekeverjük és még 5-10 percig főzzük. A sütőbe tehetjük, ameddig csak szeretnénk. Hozzáadjuk az apróra vágott petrezselymet, ízesítjük és kész. Egyszerűen, salátával vagy savanyúsággal fogyasztható. Jó étvágyat!"
Sózott savanyú káposzta leves,Lélek Receptjei,"2 szál hagyma
100ml olaj
édes paprika
füstölt paprika
bors","Nan

Nincs","A káposztát este hideg vízbe sózzuk be, és hagyjuk egész éjszakán át állni. Finomra vágjuk és jól csavarjuk ki. A hagymát megtisztítjuk és apróra vágjuk, majd olajon megpirítjuk 4-5 percig. Sózzuk, borsozzuk és adjuk hozzá a káposztát. Addig főzzük, amíg a víz majdnem el nem párolódik. Utána 180 fokra előmelegített sütőben további egy órán keresztül süssük, amíg aranybarnára sül. Ha már látjuk az olajat, akkor kész a káposzta. Jó étvágyat!"
Sárgarépa saláta (vegán),Lélek Receptjei,"2-3 közepes vagy kicsi krumpli
só
őrölt fekete bors
1 evőkanál mustár
1 evőkanál citromlé
70 ml olaj
szárított bazsalikom","Nan

Nincs","Meghámozzuk a tököt, és kockákra vágjuk. Főzzük meg egy fedővel ellátott lábosban, sóval ízesítve, amíg megpuhul. Jól öntsük le, és hagyjuk kihűlni. Miután kihűlt, jól turmixoljuk. Ugyanezt tesszük a burgonyával egy külön edényben. Miután kihűlt, áttörjük a hátsó oldalú villával, adjuk hozzá a mustárt, a sót, a citromlevet és kenjük meg olajjal, hogy kapjunk egy diétás majonézt. Keverjük össze a két összetevőt, és adjuk hozzá a borsot és a bazsalikomot. Tedd a salátát hűtőszekrénybe, amíg meg nem szervírozzuk. Tálaljuk pirított kenyérrel."
Nádtej avokádóval és bazsalikommal,Lelki Receptek,"400 gramm főtt bab (előfőzve vagy konzervből)
2 db avokádó
egy marék friss bazsalikom
2 gerezd fokhagyma
citromlé ízlés szerint
só
őrölt fekete bors
70 ml olívaolaj
pirított kenyér a tálaláshoz","Nan

Nan","Egy magas edénybe helyezzük a lecsöpögtetett babot. Az avokádót félbevágjuk, eltávolítjuk a magot, egy kanállal kiszedjük a húst és a babra helyezzük. Hozzáadjuk a bazsalikom leveleket, a megtisztított fokhagymát, sót és borsot ízlés szerint, majd a citromlevet. Elkezdjük keverni, miközben olívaolajat öntünk bele, amíg egy pasztát kapunk. Egy nem fémes edénybe helyezzük a pasztát, és fedjük le, majd a tálalásig hűtőbe tesszük. A pasztát pirított kenyérrel tálaljuk."
Nádiból készült tökfőzelék,Lélek Receptjei,"1 vöröshagyma
1 sárgarépa
1 nagy piros paprika
1 közepes padlizsán
300 gr előfőzött lencsék
200 gr reszelt paradicsom
1 evőkanál olaj
só
őrölt fekete bors
2 babérlevél
szárított kakukkfű
szárított bazsalikom
füstölt édes paprika
zöld petrezselyem","Nan

Nem","Megtisztítjuk és megmossuk a zöldségeket. A répát vékony rondellekre vágjuk, a hagymát finomra aprítjuk, a tököt kis kockákra. A padlizsánt hámozzuk és nagyobb kockákra vágjuk. Sózzuk meg és egy szitába tesszük 20 percre. Egy mély serpenyőben pirítsuk meg a hagymát és a répát. Hozzáadjuk a tököt, majd a padlizsán kockákat. Közben reszeljük le a paradicsomot és főzzük 10 percig, ha túl éretlen. Amikor a zöldségek megpuhultak, tesszük bele a paradicsomot, a füveseket, a kakukkfüvet, a borsot, a sót és a borsot, és főzzük 10 percig. Adjuk hozzá a lencset, és ízesítsük sóval és borssal. Készítsük el a tűzhelyet és szórjuk meg a zöld petrezselyemmel."
Főtt paprika paradicsommal és fokhagymával,"Fűszeres paprika sült paradicsommal és fokhagymával – Kiváló, meleg és hideg is! Jól illik a kenyérhez, jól illik a mámához és sajtkrém a tetejére. Jól működik egy húsdarab mellett is, jól működik egyedül is.","12 db kapia paprika
4 közepes piros paradicsom
2 fej hagyma
3 gerezd fokhagyma
zöld petrezselyem
egy kis ág kakukkfű
egy teáskanál cukor
egy teáskanál balsamico ecet – opcionális; ha nincs, akkor ne tedd bele
só
50 ml olaj","Nan

Nincs","A paprikákat megpucoljuk, és kettévágjuk. A paradicsomokat néhány másodpercig főzzük, majd lehúzzuk a bőrüket. Magas lángon felmelegítünk egy serpenyőt, és beleöntjük az olajat. Addig aprítjuk a két hagymát, amíg felmelegszik az olaj. Amikor az olaj forró, beletesszük a hagymát, és óvatosan kevergetve megpirítjuk, amíg megpuhul. A paradicsomokat aprítjuk, és hozzáadjuk a hagymához. Tovább kevergetjük 5 percig. Ezután beletesszük a paprikákat, és összekeverjük. A paprikáim elég folyadékot adtak, ezért nem kellett mást hozzátenni. Ha nem elég folyadék van, akkor tegyünk bele egy kis vizet. Ízesítsük sóval, tegyünk bele egy csokor kakukkfűt és közepes lángon főzzük 20 percig, néha kevergetve. Közben a szósz meg fogja sűrűsödni. Kóstoljuk meg, és ha szükséges, adjunk hozzá még sót. Tegyünk bele egy kis apróra vágott petrezselymet (ne tegyünk bele túl sokat) és apróra vágott fokhagymagerezdeket. Főzzük még 2 percig, majd kapcsoljuk ki a tűzhelyet, és hagyjuk állni 10 percig, hogy az ízek összeérjenek. Én nagyon szeretem hidegen is. Az sem árt, ha teszünk rá egy kanál fokhagymás mártást."
Posta Palacsinta,"Egy egyszerű és gyors sütemény, ideális egy böjti napra. A szénsavas vízzel készült tészta nagyon jó. A palacsinták puha és rugalmasak.","1 liter szénsavas víz
380 g liszt
5 g só
5 g vaníliás cukor
10 g morzsolt cukor
1 teáskanál keményítő
3-4 evőkanál olaj",Hozzáadunk egy evőkanálnyi őrölt sáfrányt a színek szebbé tételéhez.,"Egy edénybe szitáljuk a lisztet. Hozzáadjuk a sót, a vaníliás cukrot és a nagy cukrot. Szórjuk bele a zsírpárt is. Jól keverjük egy villával. Lassan adjuk hozzá a szénsavas vizet, hogy ne keletkezzenek csomók. Végül beleöntjük az olajat, és még egy kicsit összekeverjük. A palacsintákat közepes lángon sütjük egy antiadhesív serpenyőben. A serpenyőm 26 cm-es. Kedvenc töltelékkel (kenhető csokoládékrém, lekvár stb.) tálaljuk."
Káposztaétel,"Ez a finom étel, megfelelő a böjti napokra és nem csak.","1 db karfiol
3 db hagyma
3 db paradicsom
2 teáskanál zöldségalaplé
2 evőkanál olívaolaj
2 db kaliforniai paprika
1 db babérlevél
só
bors
bazsalikom
1 csokor petrezselyem","Nan

Nincs","A karfiolt kisebb csomagokra vágjuk és 5 percig forró vízben sóval főzzük. A hagymát szeletekre vágjuk és olajban megpirítjuk. Hozzáadjuk a kapia paprika apróra vágott darabjait és összekeverjük. A paradicsomokat reszeljük le és a megpirított zöldségekhez adagoljuk. Hozzáadjuk a leveskockát és összekeverjük. Most jönnek a fűszerek: só, bors, babérlevél és zsálya. 15 percig együtt főzzük. A karfiolt egy tepsibe vagy egy széles tálba helyezzük. Öntsük rá a szószt és 170 ° C-on 20 percig süssük. Végül petrezselyemmel megszórjuk."
Hummusz borsóból,"Nan

Nincs","400 gramm fehér bab párolva előzőleg
2 evőkanál szezámmag
citromlé
3 evőkanál olívaolaj + díszítéshez
só
őrölt fekete bors
2-3 gerezd fokhagyma
füstölt édes paprika díszítéshez
pirított kenyér a tálaláshoz","Nan

Nincs","Ha nincs előre főzött bab, mossuk meg, tegyük hideg vízbe egy órára, majd tegyük főni egy nyomást kibíró edénybe. Öntsük le a babot, és hagyjuk kihűlni. Tegyük a szezámmagot egy száraz serpenyőbe, és folyamatosan kevergessük, amíg a magok kissé megpirulnak. Szedd ki a magokat egy tálba, és hagyjuk kihűlni, majd őröljük meg őket. Vágjuk fel a fokhagymát. Tegyük a babot egy magas edénybe, adjuk hozzá a szezámmagot, a sót, a borsot, a fokhagymát, a citromlevet, az olajat, és egy vertikális turmixgéppel pürésítsük finomra. Tegyük a pépet egy tálba, és díszítsük tűző paprikával és olívaolajjal."
Sült gombák zöldségekkel (vegán),"Ha fenntartjuk az étrendet, szükségünk van növényi fehérjékre, így a gombák kiváló választásnak bizonyulnak.","400 gramm barna gomba
2 evőkanál apróra vágott zöldpetrezselyem
2 evőkanál apróra vágott zöldmetélő
2 evőkanál olívaolaj
só
őrölt feketebors","Nan

Nincs","Átöntjük a gombákat hideg víz alatt, és jól lecsepegtetjük. Levágjuk a szárát, és apróra vágjuk. Egy serpenyőben 1 evőkanál olívaolajat hevítünk, és hozzáadjuk a kockázott gombákat, sót és őrölt borsot. Kihűtjük és hozzáadjuk a petrezselymet és a kaporot. A gombacombokat elkeverjük, és a kalapokat megtöltjük vele. A gombákat süthetjük sütőben vagy Crock-Potban, ahogyan én is tettem. A Crock-Potot 130 fokra állítjuk, és 1 órán keresztül sütjük. Amikor a Crock-Pot felmelegedett, ráhelyezzük a gombákat, és locsoljuk meg a maradék olajjal. Hidegen kínáljuk a gombákat üdvözlőként."
Görög zöldbab étele (Fasolakia),"Az eredeti recept, egy zöldbab és krumpli kombinációja, olívaolajban kellene úsznia. Én csökkentettem az olaj mennyiségét.","300 gramm zöld borsó (fagyasztott)
150 gramm vörös krumpli
150 gramm passzírozott paradicsom
2 evőkanál olívaolaj
1-2 gerezd fokhagyma
só
őrölt fekete bors
1 teáskanál szárított zöldség (opcionális)
cimbora
szárított oregánó
1 babérlevél","Nan

Nincs","Megpucoljuk a krumplikat, alaposan megmossuk és nagy darabokra vágjuk. Felkarikázzuk a fokhagymát. Egy lábosba tesszük az olívaolajat, és amikor felmelegszik, hozzáadjuk a fokhagymát. Amikor az elkezd illatosodni, beletesszük a zöld borsót. Időnként összekeverjük, amíg a borsó megpuhul, majd hozzáadjuk a krumplit. Megöntjük annyi forró vízzel, hogy ellepje a zöldségeket, hozzáadjuk a babérlevelet és a kaporot, egy kevés sót és 10 percig főzzük. Hozzáadjuk a paradicsomot, a borsot, a szárított zöldségeket és az oregánót, és főzzük, amíg az öntet összeáll."
Postás musakája gombával,"Ma reggel örömmel készítettük el ezt a nagyon finom ételt! Nem tudom, miért nem csináltam még postás musakát, de ma ez jutott eszembe, hogy elkészítsem. Nagyon nagyon finom lett, és biztosan bekerül a postás étlapunkba! A tetejére vegán sajtot tettem, amit itt láthattok a képen, hogy jobban megértsétek. Nem feltétlenül azt a céget kell használni, de tudjátok, hogy most már sok vegán termék kapható a boltokban, amelyek nagyon jók a postás napokhoz! Ha tetszik a musakám, próbáljátok ki ti is. Ha tökéletes szeletet szeretnétek, hogy látszódjanak a rétegek, ne vágjátok olyan forrón, ahogy én csináltam!","8-9 szabályos burgonya
2 doboz felkockázott gomba (vagy 700 gr friss gomba)
1 nagy hagyma
1 sárgarépa
1 piros paprika
1 doboz kimagozott piros paradicsom
1 evőkanál szárított zöldség
1/2 csokor zöld petrezselyem
1 evőkanál sóhajtott keményítő (vagy 1 evőkanál teli sütőpor)
só
bors
édes paprika
6 szelet vegán sajt
2 evőkanál olívaolaj","Nan

Nan","Spalja meg a burgonyákat, tegye őket egy lábasba vízzel és főzze meg. Amikor átsülnek, vegye ki őket egy tányérra, és hagyja, hogy kihűljenek. Nyissa ki a gomba dobozokat, mossa meg őket két-három vízben, és csepegtessen. A répát tisztítsa meg és vágja karikákra. Tegye a gombát és a répát egy turmixgépbe, aprítsa meg, de ne készítsen pépet belőle, inkább nagyobb darabokra, mint darált húsra. A vöröshagymát aprítsa apróra. A piros paprikát tisztítsa meg a magoktól és vágja kockákra. Tegyen egy serpenyőt a tűzhelyre, öntsön olívaolajat. Adja hozzá a gomba-répa keveréket, a hagymát és a paprikát. Jól keverje össze, és hagyja lefolyni a folyadékot. Adjon hozzá 3/4 csésze vizet. Tegye a száraz zöldségkeveréket, sót, borsot és édes paprikát. Keverje össze, és hagyja, hogy a folyadék teljesen elpárolgjon. A héjától megtisztított paradicsomokat tegye egy turmixgépbe, és tartson vissza 3-4 evőkanál levét. Turmixolja, míg püré állagú nem lesz. Amikor a serpenyőből elpárologtak a folyadékok, tegye bele a paradicsom pürét, és keverje össze. Két-három perc múlva, kapcsolja le a hőfokot, és tegyen bele keményítőt, és keverje jól össze az egészet. Távolítsa el a serpenyőt. Aprítsa fel a zöld petrezselymet, és keverje bele a kapott keverékbe. A lehűlt burgonyákat hámozza meg, és vágja szeletekre. Egy tálba helyezze egy réteg burgonyát, és helyezze egymás mellé a szeleteket. Helyezze a keveréket, és szintezzen ki, majd helyezzen rá egy másik réteg burgonyát. Kened meg a tetejét a tartott paradicsomlével, és helyezze rá a vegán sajt szeleteket. Helyezze a muszakát a meleg sütőbe, 180 fokra, 35-40 percig. Amikor kész, vegye ki a sütőből, és hagyja, hogy kicsit kihűljön! Tálaljuk szósszal, és jó étvágyat!"
Zöldborsó és tönkölybúza étel.,"Nan

Nincs","1 sárgarépa
1 paprika
400 g zöldbab
150 g előfőzött nád
150 g passzírozott paradicsom
2 evőkanál paradicsomleves
só
őrölt fekete bors
1 levél zsálya
szárított kakukkfű
zöld petrezselyem
2-3 gerezd fokhagyma
2 evőkanál olaj","Nan

Nincs","Taijuk a sárgarépát négyzetekre, a tököt kockákra és a vöröshagymát finomra. Egy lábasban pirítsuk meg a zöldségeket forró olajban. Amikor a zöldségek megpuhultak, adjunk hozzá zöldbabot, majd öntsünk rá meleg vizet. Adjuk hozzá a babérlevél és a kakukkfüvet. Főzzük alacsony lángon, amíg a zöldségek megpuhulnak, majd adjuk hozzá a paradicsomot és a lencsét. Ízesítsük sóval és borssal, és főzzük, amíg a szósz összeáll. Adjuk hozzá a finomra vágott petrezselymet és a finomra vágott fokhagymát."
